"index","request_bytes","response_bytes","checksum_valid"
61,61  0  160  0  1  0  8  179,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
62,62  0  160  0  1  0  8  178,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
63,63  0  160  0  1  0  8  189,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
64,64  0  160  0  1  0  8  188,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
65,65  0  160  0  1  0  8  191,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
66,66  0  160  0  1  0  8  190,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
67,67  0  160  0  1  0  8  185,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
68,68  0  160  0  1  0  8  184,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
69,69  0  160  0  1  0  8  187,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
70,70  0  160  0  1  0  8  186,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
71,71  0  160  0  1  0  8  165,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
72,72  0  160  0  1  0  8  164,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
73,73  0  160  0  1  0  8  167,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
74,74  0  160  0  1  0  8  166,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
75,75  0  160  0  1  0  8  161,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
76,76  0  160  0  1  0  8  160,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
77,77  0  160  0  1  0  8  163,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
78,78  0  160  0  1  0  8  162,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
79,79  0  160  0  1  0  8  173,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
80,80  0  160  0  1  0  8  172,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
81,81  0  160  0  1  0  8  175,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
82,82  0  160  0  1  0  8  174,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
83,83  0  160  0  1  0  8  169,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
84,84  0  160  0  1  0  8  168,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
85,85  0  160  0  1  0  8  171,0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0,False
